symbol,markPrice,indexPrice,estimatedSettlePrice,lastFundingRate,interestRate,nextFundingTime,time,source,has_interest_component
METUSDT,0.33218621,0.33218404,0.33346376,-7.446e-05,0.0001,1768723200000,1768710732001,binance,True
JASMYUSDT,0.00804303,0.00805806,0.00806779,-0.00039303,0.0001,1768723200000,1768710732001,binance,True
RLCUSDT,0.6808,0.6812016,0.68158785,0.0001,0.0001,1768723200000,1768710732001,binance,True
SQDUSDT,0.07442706,0.07451188,0.07486145,5e-05,0.0001,1768723200000,1768710732001,binance,True
KGENUSDT,0.29185,0.29110855,0.29171140,7.479e-05,0.0001,1768723200000,1768710732001,binance,True
RADUSDT,0.31133368,0.3110806,0.00000000,0.0,0.0001,1768723200000,1768710732001,binance,True
VIRTUALUSDT,0.93,0.93087297,0.93317454,-9.718e-05,0.0001,1768723200000,1768710732001,binance,True
PUNDIXUSDT,0.24005447,0.240692,0.24085916,5e-05,0.0001,1768723200000,1768710732001,binance,True
SWELLUSDT,0.00179271,0.00179275,0.00000000,0.0,0.0001,1768723200000,1768710732001,binance,True
TREEUSDT,0.1076,0.10766933,0.10760904,5e-05,0.0001,1768723200000,1768710732001,binance,True
AIOUSDT,0.16925,0.168448,0.16798247,0.00037391,0.0001,1768723200000,1768710732001,binance,True
BANANAS31USDT,0.00377939,0.00378166,0.00378490,5e-05,0.0001,1768723200000,1768710732001,binance,True
BASUSDT,0.00527164,0.00525453,0.00526523,5.995e-05,0.0001,1768723200000,1768710732001,binance,True
ARCUSDT,0.05081,0.05082,0.05015540,0.00025645,0.0001,1768723200000,1768710732001,binance,True
AKTUSDT,0.46248329,0.46194428,0.46393104,5e-05,0.0001,1768723200000,1768710732001,binance,True
DOLOUSDT,0.06113963,0.06117419,0.06104906,-3.142e-05,0.0001,1768723200000,1768710732001,binance,True
ORDIUSDC,5.04593078,5.05128008,5.04606899,5e-05,0.0001,1768723200000,1768710732001,binance,True
DOTUSDT,2.15217171,2.15422727,2.15643474,6.1e-07,0.0001,1768723200000,1768710732001,binance,True
EOSUSDT,0.78021689,0.7802,0.78020000,0.0001,0.0001,1768723200000,1768710732001,binance,True
MTLUSDT,0.4083,0.40842581,0.40870664,0.0001,0.0001,1768723200000,1768710732001,binance,True
TAOUSDT,271.84686872,272.07822303,272.13653796,3.38e-05,0.0001,1768723200000,1768710732001,binance,True
DUSKUSDT,0.12213119,0.12453717,0.11849810,-0.00695728,0.0001,1768723200000,1768710732001,binance,True
FRAXUSDT,0.88189803,0.88592273,0.90564431,-0.00079103,0.0001,1768723200000,1768710732001,binance,True
LINEAUSDT,0.00633,0.00633916,0.00633552,1.154e-05,0.0001,1768723200000,1768710732001,binance,True
1000CATUSDT,0.00306243,0.00306148,0.00306618,5e-05,0.0001,1768723200000,1768710732001,binance,True
SAFEUSDT,0.2123,0.21304544,0.21225140,-0.00310321,0.0001,1768723200000,1768710732001,binance,True
TUSDT,0.01001,0.01002987,0.01004555,5e-05,0.0001,1768723200000,1768710732001,binance,True
VELODROMEUSDT,0.02384,0.02384355,0.02389387,5e-05,0.0001,1768723200000,1768710732001,binance,True
CRVUSDT,0.41314582,0.41349685,0.41554247,0.0001,0.0001,1768723200000,1768710732001,binance,True
HOTUSDT,0.0005253,0.00052587,0.00052628,0.0001,0.0001,1768723200000,1768710732001,binance,True
LTCUSDC,74.37034018,74.42629539,74.69291723,3.953e-05,0.0001,1768723200000,1768710732001,binance,True
HBARUSDT,0.11708,0.11719059,0.11736667,-6.031e-05,0.0001,1768723200000,1768710732001,binance,True
AXLUSDT,0.07749178,0.07748843,0.07714045,5e-05,0.0001,1768723200000,1768710732001,binance,True
FORTHUSDT,1.836,1.83910562,1.83938971,5e-05,0.0001,1768723200000,1768710732001,binance,True
