symbol,nextFundingRate,oraclePrice,priceChange24H,volume24H,openInterest,source,has_interest_component,interest_rate_per_interval
BTC-USD,7.94140625e-06,95099.59895,-196.19189,55185238.2137,359.3839,dydx,False,0.0
ETH-USD,3.874609375e-05,3310.61224,24.096219,12210375.6477,7718.184,dydx,False,0.0
LINK-USD,0.0,13.676580888,0.000580888,16491.146,131292.0,dydx,False,0.0
MATIC-USD,0.0,0.3932407381,0.0,0.0,0.0,dydx,False,0.0
CRV-USD,0.0,0.4133759872,-0.0214835906,17651.381,605660.0,dydx,False,0.0
SOL-USD,5.064453125e-05,142.65216838,-1.6045546,24520199.185,198813.8,dydx,False,0.0
ADA-USD,0.0,0.3942951437,-0.0011573745,10606.796,1067740.0,dydx,False,0.0
AVAX-USD,0.0,13.63906284,0.08906284,58822.891,13494.1,dydx,False,0.0
FIL-USD,-5.1953125e-06,1.527241827,0.015755839,72268.042,187431.0,dydx,False,0.0
LTC-USD,0.0,74.42767169,0.23509121,18506.428,18698.8,dydx,False,0.0
DOGE-USD,3.8671875e-07,0.13719570141,-0.00043300997,369635.018,11781200.0,dydx,False,0.0
ATOM-USD,-2.28515625e-06,2.531183582,0.011508048,24407.943,96025.0,dydx,False,0.0
DOT-USD,0.0,2.154353693,0.024173248,32910.376,128547.0,dydx,False,0.0
UNI-USD,8.3203125e-07,5.319202089,-0.00899885,174166.498,355429.0,dydx,False,0.0
BCH-USD,-3.6328125e-07,593.8404333,2.4128616,128886.438,995.11,dydx,False,0.0
TRX-USD,0.0,0.31910426871,0.00774668611,181586.086,1117600.0,dydx,False,0.0
NEAR-USD,0.0,1.714976329,-0.013277693,22767.487,71638.0,dydx,False,0.0
MKR-USD,0.0,1763.39,0.0,0.0,0.0,dydx,False,0.0
XLM-USD,0.0,0.2284314705,0.0031054705,3847.546,504080.0,dydx,False,0.0
ETC-USD,-6.875e-07,12.75567329,-0.02070319,13199.422,1487.2,dydx,False,0.0
COMP-USD,-2.1875e-07,26.66466706,-0.11637238,763.859,3481.0,dydx,False,0.0
WLD-USD,0.0,0.544313922,-0.009997572,8270.462,94811.0,dydx,False,0.0
APE-USD,0.0,0.222941685,0.00159744,11137.722,187818.0,dydx,False,0.0
APT-USD,0.0,1.819454163,0.012054163,81440.193,45928.0,dydx,False,0.0
ARB-USD,0.0,0.213646588,0.00290981,310.483,930678.0,dydx,False,0.0
BLUR-USD,-3.98515625e-05,0.0390951137,0.0041515808,289946.961,619120.0,dydx,False,0.0
LDO-USD,0.0,0.603324669,0.000988732,6209.227,172120.0,dydx,False,0.0
OP-USD,0.0,0.34052573,-0.001296776,2800.411,417419.0,dydx,False,0.0
PEPE-USD,0.0,5.7845538759e-06,-8.06865519e-08,7816.583,49210000000.0,dydx,False,0.0
SEI-USD,-3.125e-07,0.1199220053,0.0006551551,7405.423,2086230.0,dydx,False,0.0
SHIB-USD,0.0,8.390451147e-06,-1.21579862e-07,6509.039,7661000000.0,dydx,False,0.0
SUI-USD,0.0,1.7771668499,-0.0109250725,30348.184,349500.0,dydx,False,0.0
XRP-USD,0.0,2.0530113455,-0.0092573375,174483.414,2635600.0,dydx,False,0.0
TIA-USD,0.0,0.56570857,-0.01656674,2535.36,232769.9,dydx,False,0.0
EIGEN-USD,0.0,0.396114277,-0.010413764,1941.96,3522.0,dydx,False,0.0
JUP-USD,0.0,0.2218352218,-0.0017200671,3422.673,162220.0,dydx,False,0.0
AAVE-USD,5.9765625e-07,173.5,-1.42938837,229714.794,12543.3,dydx,False,0.0
BNB-USD,0.0,948.4401012,11.1304091,54009.853,548.34,dydx,False,0.0
JTO-USD,0.0,0.395881235,-0.019494152,1003.778,5831.0,dydx,False,0.0
ORDI-USD,0.0,5.04976507,-0.10048348,2888.167,8237.2,dydx,False,0.0
EOS-USD,0.0,0.8167633526,0.0,0.0,0.0,dydx,False,0.0
ICP-USD,0.0,3.98680395,-0.13177483,20757.457,23986.1,dydx,False,0.0
DYM-USD,0.0,0.069149255,-0.001533244,0.0,226108.0,dydx,False,0.0
STRK-USD,0.0,0.083477304,-0.001593765,5745.569,805226.0,dydx,False,0.0
FET-USD,0.0,1.34838175,0.0,0.0,0.0,dydx,False,0.0
WOO-USD,0.0,0.0303358992,4.61999e-05,287.256,409520.0,dydx,False,0.0
PYTH-USD,0.0,0.0653212706,-0.0003190373,175.439,757340.0,dydx,False,0.0
BONK-USD,-2.941015625e-05,1.033825071e-05,-2.9813216e-07,108641.23,14688600000.0,dydx,False,0.0
AGIX-USD,0.0,0.5984417141,0.0,0.0,0.0,dydx,False,0.0
RENDER-USD,0.0,2.178387882,-0.098928922,842.714,6573.0,dydx,False,0.0
STX-USD,0.0,0.357542737,-0.010544677,27489.965,57870.0,dydx,False,0.0
INJ-USD,0.0,5.23065334,-0.13773614,84281.371,17680.6,dydx,False,0.0
IMX-USD,0.0,0.287709995,0.002802733,17863.331,122612.0,dydx,False,0.0
HBAR-USD,0.0,0.1171507126,-0.0011215462,17597.067,168220.0,dydx,False,0.0
ALGO-USD,-3.72265625e-05,0.1284623729,-0.0030031113,143895.734,1449150.0,dydx,False,0.0
GRT-USD,7.0703125e-07,0.0421199688,-0.000947111,7376.314,1236440.0,dydx,False,0.0
MANA-USD,-3.765625e-06,0.1612,0.0113449566,39697.707,55400.0,dydx,False,0.0
RUNE-USD,0.0,0.66184833,-0.01514857,1001.444,110817.0,dydx,False,0.0
AXL-USD,3.11328125e-06,0.077404081,0.003069609,200.1,127607.0,dydx,False,0.0
AEVO-USD,0.0,0.041982405,-0.000383782,1689.591,51462.0,dydx,False,0.0
ASTR-USD,0.0,0.0114424225,0.0004112291,0.0,1431820.0,dydx,False,0.0
SNX-USD,0.0,0.478980256,0.003290762,19167.184,68380.0,dydx,False,0.0
ARKM-USD,2.1875e-07,0.206937918,-0.0026408,2098.646,9206.0,dydx,False,0.0
DYDX-USD,0.0,0.193641907,-0.0019994,1622.901,741076.0,dydx,False,0.0
CHZ-USD,9.105859375e-05,0.0615,0.0032,50116.916,2341870.0,dydx,False,0.0
WIF-USD,0.0,0.374094828,-0.011396581,100685.882,152378.0,dydx,False,0.0
ETHFI-USD,0.0,0.731017247,-0.012796162,53.747,7693.0,dydx,False,0.0
TON-USD,-1.25390625e-06,1.713210805,0.009721852,17333.373,45181.0,dydx,False,0.0
W-USD,6.671875e-06,0.0361099457,-0.0001175531,0.0,479750.0,dydx,False,0.0
MOTHER-USD,1.25e-05,0.0115072852,0.0,0.0,0.0,dydx,False,0.0
MOG-USD,1.25e-05,2.968945783e-07,-7.0348167e-09,0.0,0.0,dydx,False,0.0
GOAT-USD,1.25e-05,0.0370071299,-0.0004353815,0.0,0.0,dydx,False,0.0
TREMP-USD,1.25e-05,0.0522455407,0.0,0.0,0.0,dydx,False,0.0
BODEN-USD,1.25e-05,0.0020638314,0.0,0.0,0.0,dydx,False,0.0
ZRO-USD,4.8046875e-06,1.722305538,0.076323241,1939.322,22668.0,dydx,False,0.0
ZK-USD,0.0,0.033919824,-0.0012304061,0.0,808250.0,dydx,False,0.0
TLOS-USD,1.25e-05,0.0226504699,0.0005309715,0.0,0.0,dydx,False,0.0
