symbol,fundingRate,openInterest,markPrice,oraclePrice,source,has_interest_component,interest_rate_per_interval
BTC,1.25e-05,31194.20986,95075.0,95091.0,hyperliquid,False,0.0
ETH,1.25e-05,1017226.9396,3308.8,3310.0,hyperliquid,False,0.0
ATOM,-4.62533e-05,1996106.68,2.5279,2.532,hyperliquid,False,0.0
MATIC,0.0,0.0,0.37621,0.3754,hyperliquid,False,0.0
DYDX,1.25e-05,15344154.4,0.19363,0.19365,hyperliquid,False,0.0
SOL,1.25e-05,5387984.04,142.66,142.72,hyperliquid,False,0.0
AVAX,-4.17464e-05,1189057.42,13.632,13.645,hyperliquid,False,0.0
BNB,1.25e-05,49805.926,947.86,948.25,hyperliquid,False,0.0
APE,1.25e-05,4843836.8,0.22265,0.22295,hyperliquid,False,0.0
OP,1.25e-05,15077655.6,0.3402,0.34025,hyperliquid,False,0.0
LTC,1.25e-05,546053.52,74.365,74.415,hyperliquid,False,0.0
ARB,1.25e-05,27292604.999999996,0.21352,0.21365,hyperliquid,False,0.0
DOGE,1.25e-05,644686072.0,0.13722,0.13719,hyperliquid,False,0.0
INJ,1.25e-05,367050.4,5.2209,5.226,hyperliquid,False,0.0
SUI,-3.5574e-06,16884932.000000004,1.776,1.7769,hyperliquid,False,0.0
kPEPE,7.0116e-06,4432286708.0,0.005783,0.005787,hyperliquid,False,0.0
CRV,6.5211e-06,23781860.000000007,0.41321,0.41355,hyperliquid,False,0.0
LDO,1.25e-05,9711089.199999997,0.60243,0.60275,hyperliquid,False,0.0
LINK,1.25e-05,2003940.8,13.671,13.68,hyperliquid,False,0.0
STX,2.6086e-06,3598533.8000000003,0.35717,0.35755,hyperliquid,False,0.0
RNDR,0.0,0.0,6.8952,7.03,hyperliquid,False,0.0
CFX,1.25e-05,10137358.0,0.07865,0.078703,hyperliquid,False,0.0
FTM,0.0,0.0,0.71688,0.712,hyperliquid,False,0.0
GMX,-1.23949e-05,49155.04,7.9518,7.963,hyperliquid,False,0.0
SNX,1.25e-05,1459962.2,0.47855,0.479,hyperliquid,False,0.0
XRP,1.25e-05,114323958.0,2.0521,2.053,hyperliquid,False,0.0
BCH,-4.497e-07,20461.026,593.73,594.05,hyperliquid,False,0.0
APT,-3.7225e-06,3970558.9,1.8177,1.8195,hyperliquid,False,0.0
AAVE,1.25e-05,160419.86,173.43,173.52,hyperliquid,False,0.0
COMP,1.25e-05,33235.66,26.631,26.665,hyperliquid,False,0.0
MKR,0.0,0.0,1831.5,1828.8,hyperliquid,False,0.0
WLD,1.25e-05,12673475.4,0.54406,0.5443,hyperliquid,False,0.0
FXS,0.0,0.0,0.65538,0.649,hyperliquid,False,0.0
HPOS,0.0,0.0,0.041873,0.042203,hyperliquid,False,0.0
RLB,0.0,0.0,0.071,0.071068,hyperliquid,False,0.0
UNIBOT,0.0,0.0,7.636,6.053,hyperliquid,False,0.0
YGG,1.25e-05,2495844.0,0.073012,0.07309,hyperliquid,False,0.0
TRX,1.25e-05,40093214.0,0.319,0.31917,hyperliquid,False,0.0
kSHIB,1.25e-05,409695104.0,0.008387,0.008391,hyperliquid,False,0.0
UNI,1.25e-05,4862067.8,5.3166,5.32,hyperliquid,False,0.0
