symbol,fundingRate,fundingRateTimestamp,fundingTime,source,type,has_interest,interest_per_interval
ETHUSDT,4.876e-05,1760976000000,2025-10-20 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1761004800000,2025-10-21 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-2.262e-05,1761033600000,2025-10-21 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1761062400000,2025-10-21 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-4.209e-05,1761091200000,2025-10-22 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-7.659e-05,1761120000000,2025-10-22 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,-2.394e-05,1761148800000,2025-10-22 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-1.522e-05,1761177600000,2025-10-23 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,9.409e-05,1761206400000,2025-10-23 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,5.438e-05,1761235200000,2025-10-23 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-1.509e-05,1761264000000,2025-10-24 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1761292800000,2025-10-24 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,8.238e-05,1761321600000,2025-10-24 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1761350400000,2025-10-25 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,7.603e-05,1761379200000,2025-10-25 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1761408000000,2025-10-25 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1761436800000,2025-10-26 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1761465600000,2025-10-26 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1761494400000,2025-10-26 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1761523200000,2025-10-27 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1761552000000,2025-10-27 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,7.82e-05,1761580800000,2025-10-27 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-2.512e-05,1761609600000,2025-10-28 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,1.659e-05,1761638400000,2025-10-28 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,2.995e-05,1761667200000,2025-10-28 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-6.695e-05,1761696000000,2025-10-29 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,2.446e-05,1761724800000,2025-10-29 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,2.57e-06,1761753600000,2025-10-29 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-2.879e-05,1761782400000,2025-10-30 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,4.856e-05,1761811200000,2025-10-30 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,-7.246e-05,1761840000000,2025-10-30 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-4.735e-05,1761868800000,2025-10-31 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,3.96e-06,1761897600000,2025-10-31 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,-5.32e-06,1761926400000,2025-10-31 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-5.527e-05,1761955200000,2025-11-01 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-6.04e-06,1761984000000,2025-11-01 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,7.532e-05,1762012800000,2025-11-01 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,1.479e-05,1762041600000,2025-11-02 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,8.003e-05,1762070400000,2025-11-02 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,-7.398e-05,1762099200000,2025-11-02 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,7.152e-05,1762128000000,2025-11-03 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-0.00016312,1762156800000,2025-11-03 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,-6.695e-05,1762185600000,2025-11-03 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-2.482e-05,1762214400000,2025-11-04 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-1.532e-05,1762243200000,2025-11-04 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,3.727e-05,1762272000000,2025-11-04 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,1.979e-05,1762300800000,2025-11-05 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,4.2e-06,1762329600000,2025-11-05 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,-5.307e-05,1762358400000,2025-11-05 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-7.917e-05,1762387200000,2025-11-06 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,1.678e-05,1762416000000,2025-11-06 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,-1.654e-05,1762444800000,2025-11-06 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-6.053e-05,1762473600000,2025-11-07 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,6.32e-05,1762502400000,2025-11-07 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,2.479e-05,1762531200000,2025-11-07 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,3.524e-05,1762560000000,2025-11-08 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,4.076e-05,1762588800000,2025-11-08 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,3.396e-05,1762617600000,2025-11-08 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-3.8e-06,1762646400000,2025-11-09 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,5.02e-06,1762675200000,2025-11-09 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,6.747e-05,1762704000000,2025-11-09 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1762732800000,2025-11-10 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-2.35e-06,1762761600000,2025-11-10 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,2.858e-05,1762790400000,2025-11-10 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,1.12e-06,1762819200000,2025-11-11 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-4.891e-05,1762848000000,2025-11-11 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,3.623e-05,1762876800000,2025-11-11 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-2.02e-05,1762905600000,2025-11-12 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-2.759e-05,1762934400000,2025-11-12 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1762963200000,2025-11-12 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-4.174e-05,1762992000000,2025-11-13 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-4.73e-06,1763020800000,2025-11-13 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,8.96e-06,1763049600000,2025-11-13 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-0.00018125,1763078400000,2025-11-14 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,6.1e-06,1763107200000,2025-11-14 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,8.596e-05,1763136000000,2025-11-14 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,1.513e-05,1763164800000,2025-11-15 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1763193600000,2025-11-15 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1763222400000,2025-11-15 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,3.8e-06,1763251200000,2025-11-16 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,7.775e-05,1763280000000,2025-11-16 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,1.686e-05,1763308800000,2025-11-16 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,6.917e-05,1763337600000,2025-11-17 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1763366400000,2025-11-17 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,3.072e-05,1763395200000,2025-11-17 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,-3.789e-05,1763424000000,2025-11-18 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1763452800000,2025-11-18 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1763481600000,2025-11-18 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,8.83e-05,1763510400000,2025-11-19 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-1.038e-05,1763539200000,2025-11-19 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,4.484e-05,1763568000000,2025-11-19 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,5.78e-05,1763596800000,2025-11-20 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1763625600000,2025-11-20 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1763654400000,2025-11-20 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,5.608e-05,1763683200000,2025-11-21 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,2.195e-05,1763712000000,2025-11-21 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,7.873e-05,1763740800000,2025-11-21 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,3.643e-05,1763769600000,2025-11-22 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,6.295e-05,1763798400000,2025-11-22 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,4.122e-05,1763827200000,2025-11-22 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,7.392e-05,1763856000000,2025-11-23 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,5.528e-05,1763884800000,2025-11-23 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,3.885e-05,1763913600000,2025-11-23 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,3.719e-05,1763942400000,2025-11-24 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,2.275e-05,1763971200000,2025-11-24 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,4.9e-05,1764000000000,2025-11-24 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,0.0001,1764028800000,2025-11-25 00:00:00,bybit,CEX,True,0.0001
ETHUSDT,-6.98e-06,1764057600000,2025-11-25 08:00:00,bybit,CEX,True,0.0001
ETHUSDT,2.602e-05,1764086400000,2025-11-25 16:00:00,bybit,CEX,True,0.0001
ETHUSDT,8.887e-05,1764115200000,2025-11-26 00:00:00,bybit,CEX,True,0.0001
