ticker,rate,price,effectiveAtHeight,effectiveAt,fundingTime,fundingRate,markPrice,symbol,source,type,has_interest,interest_per_interval
BTC-USD,0.000019375,107393.68227,59663039,2025-10-19T10:00:00.116Z,2025-10-19 10:00:00.116000+00:00,1.9375e-05,107393.68227,BTC-USD,dydx,DEX,False,0.0
BTC-USD,0.0000195,107898.06777,59668889,2025-10-19T11:00:00.216Z,2025-10-19 11:00:00.216000+00:00,1.95e-05,107898.06777,BTC-USD,dydx,DEX,False,0.0
BTC-USD,0.000015125,107808.32332,59674827,2025-10-19T12:00:00.326Z,2025-10-19 12:00:00.326000+00:00,1.5125e-05,107808.32332,BTC-USD,dydx,DEX,False,0.0
BTC-USD,0.00002325,107662.29868,59680730,2025-10-19T13:00:00.411Z,2025-10-19 13:00:00.411000+00:00,2.325e-05,107662.29868,BTC-USD,dydx,DEX,False,0.0
BTC-USD,0.00003775,108123.34933,59686656,2025-10-19T14:00:00.317Z,2025-10-19 14:00:00.317000+00:00,3.775e-05,108123.34933,BTC-USD,dydx,DEX,False,0.0
BTC-USD,0.0000165,108445.34637,59692543,2025-10-19T15:00:00.185Z,2025-10-19 15:00:00.185000+00:00,1.65e-05,108445.34637,BTC-USD,dydx,DEX,False,0.0
BTC-USD,0.0000175,108513.40536,59698451,2025-10-19T16:00:00.030Z,2025-10-19 16:00:00.030000+00:00,1.75e-05,108513.40536,BTC-USD,dydx,DEX,False,0.0
BTC-USD,0.00001625,108657.17328,59704336,2025-10-19T17:00:00.009Z,2025-10-19 17:00:00.009000+00:00,1.625e-05,108657.17328,BTC-USD,dydx,DEX,False,0.0
BTC-USD,0.0000065,109131.98732,59710191,2025-10-19T18:00:00.745Z,2025-10-19 18:00:00.745000+00:00,6.5e-06,109131.98732,BTC-USD,dydx,DEX,False,0.0
BTC-USD,0.000011375,109414.86594,59716049,2025-10-19T19:00:02.053Z,2025-10-19 19:00:02.053000+00:00,1.1375e-05,109414.86594,BTC-USD,dydx,DEX,False,0.0
