coin,fundingRate,premium,time,fundingTime,symbol,source,type,has_interest,interest_per_interval
BTC,1.25e-05,-0.0003030481,1760936400027,2025-10-20 05:00:00.027,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.000119109,1760940000067,2025-10-20 06:00:00.067,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.0002314582,1760943600099,2025-10-20 07:00:00.099,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.000217824,1760947200102,2025-10-20 08:00:00.102,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.0001982252,1760950800121,2025-10-20 09:00:00.121,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.0001352645,1760954400031,2025-10-20 10:00:00.031,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.0001272886,1760958000001,2025-10-20 11:00:00.001,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.0001165919,1760961600008,2025-10-20 12:00:00.008,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.000136049,1760965200016,2025-10-20 13:00:00.016,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.0002338981,1760968800008,2025-10-20 14:00:00.008,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.0003899218,1760972400038,2025-10-20 15:00:00.038,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.0003885256,1760976000065,2025-10-20 16:00:00.065,BTC,hyperliquid,DEX,False,0.0
BTC,1.6059e-06,-0.0004871525,1760979600004,2025-10-20 17:00:00.004,BTC,hyperliquid,DEX,False,0.0
BTC,8.419e-07,-0.0004932651,1760983200050,2025-10-20 18:00:00.050,BTC,hyperliquid,DEX,False,0.0
BTC,1.10306e-05,-0.0004117548,1760986800049,2025-10-20 19:00:00.049,BTC,hyperliquid,DEX,False,0.0
BTC,6.9584e-06,-0.0004443329,1760990400017,2025-10-20 20:00:00.017,BTC,hyperliquid,DEX,False,0.0
BTC,5.1083e-06,-0.0004591332,1760994000028,2025-10-20 21:00:00.028,BTC,hyperliquid,DEX,False,0.0
BTC,2.3643e-06,-0.0004810854,1760997600031,2025-10-20 22:00:00.031,BTC,hyperliquid,DEX,False,0.0
BTC,6.2676e-06,-0.0004498594,1761001200065,2025-10-20 23:00:00.065,BTC,hyperliquid,DEX,False,0.0
BTC,2.4307e-06,-0.0004805546,1761004800019,2025-10-21 00:00:00.019,BTC,hyperliquid,DEX,False,0.0
BTC,4.1224e-06,-0.0004670205,1761008400007,2025-10-21 01:00:00.007,BTC,hyperliquid,DEX,False,0.0
BTC,2.2574e-06,-0.0004819408,1761012000031,2025-10-21 02:00:00.031,BTC,hyperliquid,DEX,False,0.0
BTC,1.3109e-06,-0.0004895131,1761015600071,2025-10-21 03:00:00.071,BTC,hyperliquid,DEX,False,0.0
BTC,2.0437e-06,-0.0004836506,1761019200035,2025-10-21 04:00:00.035,BTC,hyperliquid,DEX,False,0.0
BTC,-1.3815e-06,-0.000511052,1761022800063,2025-10-21 05:00:00.063,BTC,hyperliquid,DEX,False,0.0
BTC,-7.0809e-06,-0.0005566472,1761026400008,2025-10-21 06:00:00.008,BTC,hyperliquid,DEX,False,0.0
BTC,3.2246e-06,-0.0004742033,1761030000118,2025-10-21 07:00:00.118,BTC,hyperliquid,DEX,False,0.0
BTC,2.6276e-06,-0.0004789796,1761033600010,2025-10-21 08:00:00.010,BTC,hyperliquid,DEX,False,0.0
BTC,-2.9544e-06,-0.0005236355,1761037200003,2025-10-21 09:00:00.003,BTC,hyperliquid,DEX,False,0.0
BTC,1.04736e-05,-0.000416211,1761040800028,2025-10-21 10:00:00.028,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.0003548212,1761044400076,2025-10-21 11:00:00.076,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.0001751239,1761048000078,2025-10-21 12:00:00.078,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.0001683407,1761051600030,2025-10-21 13:00:00.030,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.0003711413,1761055200096,2025-10-21 14:00:00.096,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.0002222974,1761058800047,2025-10-21 15:00:00.047,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.000122508,1761062400042,2025-10-21 16:00:00.042,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.0002984871,1761066000058,2025-10-21 17:00:00.058,BTC,hyperliquid,DEX,False,0.0
BTC,-2.6826e-06,-0.0005214606,1761069600016,2025-10-21 18:00:00.016,BTC,hyperliquid,DEX,False,0.0
BTC,-7.251e-07,-0.0005058006,1761073200080,2025-10-21 19:00:00.080,BTC,hyperliquid,DEX,False,0.0
BTC,-3.3525e-06,-0.0005268203,1761076800060,2025-10-21 20:00:00.060,BTC,hyperliquid,DEX,False,0.0
BTC,-1.74662e-05,-0.0006397296,1761080400019,2025-10-21 21:00:00.019,BTC,hyperliquid,DEX,False,0.0
BTC,-7.6151e-06,-0.0005609207,1761084000011,2025-10-21 22:00:00.011,BTC,hyperliquid,DEX,False,0.0
BTC,-1.34023e-05,-0.0006072185,1761087600060,2025-10-21 23:00:00.060,BTC,hyperliquid,DEX,False,0.0
BTC,8.439e-07,-0.0004932485,1761091200025,2025-10-22 00:00:00.025,BTC,hyperliquid,DEX,False,0.0
BTC,7.544e-06,-0.0004396483,1761094800050,2025-10-22 01:00:00.050,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.0002975444,1761098400020,2025-10-22 02:00:00.020,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.0003179832,1761102000081,2025-10-22 03:00:00.081,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.0003568722,1761105600076,2025-10-22 04:00:00.076,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.0003954795,1761109200035,2025-10-22 05:00:00.035,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.0003318022,1761112800009,2025-10-22 06:00:00.009,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.0002520846,1761116400071,2025-10-22 07:00:00.071,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.0003883788,1761120000062,2025-10-22 08:00:00.062,BTC,hyperliquid,DEX,False,0.0
BTC,1.1671e-05,-0.000406632,1761123600059,2025-10-22 09:00:00.059,BTC,hyperliquid,DEX,False,0.0
BTC,7.3978e-06,-0.0004408173,1761127200074,2025-10-22 10:00:00.074,BTC,hyperliquid,DEX,False,0.0
BTC,5.2163e-06,-0.0004582696,1761130800056,2025-10-22 11:00:00.056,BTC,hyperliquid,DEX,False,0.0
BTC,3.3829e-06,-0.0004729366,1761134400032,2025-10-22 12:00:00.032,BTC,hyperliquid,DEX,False,0.0
BTC,7.3123e-06,-0.0004415018,1761138000031,2025-10-22 13:00:00.031,BTC,hyperliquid,DEX,False,0.0
BTC,1.07638e-05,-0.0004138899,1761141600029,2025-10-22 14:00:00.029,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.0001179009,1761145200025,2025-10-22 15:00:00.025,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.0002026969,1761148800036,2025-10-22 16:00:00.036,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.000288323,1761152400033,2025-10-22 17:00:00.033,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.000220857,1761156000008,2025-10-22 18:00:00.008,BTC,hyperliquid,DEX,False,0.0
BTC,1.25e-05,-0.0000837721,1761159600089,2025-10-22 19:00:00.089,BTC,hyperliquid,DEX,False,0.0
