coin,fundingRate,premium,time,fundingTime,symbol,source,type,has_interest,interest_per_interval
ETH,1.25e-05,-0.0003187472,1760936400027,2025-10-20 05:00:00.027,ETH,hyperliquid,DEX,False,0.0
ETH,8.7842e-06,-0.0004297265,1760940000067,2025-10-20 06:00:00.067,ETH,hyperliquid,DEX,False,0.0
ETH,1.25e-05,-0.0003855951,1760943600099,2025-10-20 07:00:00.099,ETH,hyperliquid,DEX,False,0.0
ETH,1.25e-05,-0.0003812308,1760947200102,2025-10-20 08:00:00.102,ETH,hyperliquid,DEX,False,0.0
ETH,1.25e-05,-0.0003917541,1760950800121,2025-10-20 09:00:00.121,ETH,hyperliquid,DEX,False,0.0
ETH,1.17916e-05,-0.0004056671,1760954400031,2025-10-20 10:00:00.031,ETH,hyperliquid,DEX,False,0.0
ETH,8.4048e-06,-0.0004327618,1760958000001,2025-10-20 11:00:00.001,ETH,hyperliquid,DEX,False,0.0
ETH,1.25e-05,-0.0003619879,1760961600008,2025-10-20 12:00:00.008,ETH,hyperliquid,DEX,False,0.0
ETH,1.25e-05,-0.000307263,1760965200016,2025-10-20 13:00:00.016,ETH,hyperliquid,DEX,False,0.0
ETH,1.25e-05,-0.0002453205,1760968800008,2025-10-20 14:00:00.008,ETH,hyperliquid,DEX,False,0.0
ETH,1.25e-05,-0.0002086067,1760972400038,2025-10-20 15:00:00.038,ETH,hyperliquid,DEX,False,0.0
ETH,1.25e-05,-0.0001759044,1760976000065,2025-10-20 16:00:00.065,ETH,hyperliquid,DEX,False,0.0
ETH,1.25e-05,-0.0002790004,1760979600004,2025-10-20 17:00:00.004,ETH,hyperliquid,DEX,False,0.0
ETH,1.25e-05,-0.0001851621,1760983200050,2025-10-20 18:00:00.050,ETH,hyperliquid,DEX,False,0.0
ETH,1.25e-05,-0.0002010051,1760986800049,2025-10-20 19:00:00.049,ETH,hyperliquid,DEX,False,0.0
ETH,1.25e-05,-0.0003175336,1760990400017,2025-10-20 20:00:00.017,ETH,hyperliquid,DEX,False,0.0
ETH,1.25e-05,-0.0002648332,1760994000028,2025-10-20 21:00:00.028,ETH,hyperliquid,DEX,False,0.0
ETH,1.25e-05,-0.0003429959,1760997600031,2025-10-20 22:00:00.031,ETH,hyperliquid,DEX,False,0.0
ETH,1.25e-05,-0.000325434,1761001200065,2025-10-20 23:00:00.065,ETH,hyperliquid,DEX,False,0.0
