symbol,fundingTime,fundingRate,markPrice,source,has_interest_component,interest_rate_per_interval
ETHUSDT,2025-12-19 08:00:00.001,7.285e-05,2950.56593023,binance,True,0.0001
ETHUSDT,2025-12-19 16:00:00.000,9.196e-05,2963.53419006,binance,True,0.0001
ETHUSDT,2025-12-20 00:00:00.005,1.997e-05,2978.40965891,binance,True,0.0001
ETHUSDT,2025-12-20 08:00:00.000,1.909e-05,2980.30465891,binance,True,0.0001
ETHUSDT,2025-12-20 16:00:00.002,9.03e-06,2975.58,binance,True,0.0001
ETHUSDT,2025-12-21 00:00:00.000,1.836e-05,2976.54,binance,True,0.0001
ETHUSDT,2025-12-21 08:00:00.009,4.198e-05,2979.86175194,binance,True,0.0001
ETHUSDT,2025-12-21 16:00:00.000,3.37e-06,2973.41665891,binance,True,0.0001
ETHUSDT,2025-12-22 00:00:00.000,-2.332e-05,3000.72510853,binance,True,0.0001
ETHUSDT,2025-12-22 08:00:00.005,5.76e-06,3028.38,binance,True,0.0001
ETHUSDT,2025-12-22 16:00:00.009,-5.69e-06,3051.42631783,binance,True,0.0001
ETHUSDT,2025-12-23 00:00:00.000,3.812e-05,3008.1,binance,True,0.0001
ETHUSDT,2025-12-23 08:00:00.000,6.79e-05,2963.57,binance,True,0.0001
ETHUSDT,2025-12-23 16:00:00.001,2.64e-05,2927.74589922,binance,True,0.0001
ETHUSDT,2025-12-24 00:00:00.001,2.584e-05,2963.29,binance,True,0.0001
ETHUSDT,2025-12-24 08:00:00.001,6.186e-05,2931.36,binance,True,0.0001
ETHUSDT,2025-12-24 16:00:00.000,5.629e-05,2924.43882171,binance,True,0.0001
ETHUSDT,2025-12-25 00:00:00.000,6.527e-05,2946.23,binance,True,0.0001
ETHUSDT,2025-12-25 08:00:00.001,6.688e-05,2940.84,binance,True,0.0001
ETHUSDT,2025-12-25 16:00:00.005,4.97e-05,2959.48,binance,True,0.0001
ETHUSDT,2025-12-26 00:00:00.004,5.028e-05,2902.63771318,binance,True,0.0001
ETHUSDT,2025-12-26 08:00:00.001,6.473e-05,2955.52842636,binance,True,0.0001
ETHUSDT,2025-12-26 16:00:00.007,3.451e-05,2921.51,binance,True,0.0001
ETHUSDT,2025-12-27 00:00:00.000,4.038e-05,2926.82235365,binance,True,0.0001
ETHUSDT,2025-12-27 08:00:00.000,-5.19e-06,2931.47,binance,True,0.0001
ETHUSDT,2025-12-27 16:00:00.011,8.133e-05,2925.53,binance,True,0.0001
ETHUSDT,2025-12-28 00:00:00.008,5.105e-05,2947.61,binance,True,0.0001
ETHUSDT,2025-12-28 08:00:00.000,7.91e-05,2937.78866667,binance,True,0.0001
ETHUSDT,2025-12-28 16:00:00.000,4.862e-05,2948.08154264,binance,True,0.0001
ETHUSDT,2025-12-29 00:00:00.016,9.172e-05,2949.59,binance,True,0.0001
ETHUSDT,2025-12-29 08:00:00.001,8.496e-05,3018.46,binance,True,0.0001
ETHUSDT,2025-12-29 16:00:00.000,1.862e-05,2934.04247287,binance,True,0.0001
ETHUSDT,2025-12-30 00:00:00.005,-1.536e-05,2936.46,binance,True,0.0001
ETHUSDT,2025-12-30 08:00:00.001,3.92e-05,2949.50734964,binance,True,0.0001
ETHUSDT,2025-12-30 16:00:00.003,0.0001,2988.49,binance,True,0.0001
ETHUSDT,2025-12-31 00:00:00.004,5.157e-05,2972.28718605,binance,True,0.0001
ETHUSDT,2025-12-31 08:00:00.001,1.205e-05,2975.56608527,binance,True,0.0001
ETHUSDT,2025-12-31 16:00:00.001,3.527e-05,2984.3,binance,True,0.0001
ETHUSDT,2026-01-01 00:00:00.008,0.0001,2970.4651982,binance,True,0.0001
ETHUSDT,2026-01-01 08:00:00.002,8.799e-05,2977.34010078,binance,True,0.0001
