coin,fundingRate,premium,fundingTime,source,has_interest_component,interest_rate_per_interval,symbol
BTC,1.25e-05,-0.0003355239,2025-12-19 05:00:00.067,hyperliquid,False,0.0,BTC
BTC,9.3423e-06,-0.0004252617,2025-12-19 06:00:00.047,hyperliquid,False,0.0,BTC
BTC,6.67e-06,-0.0004466404,2025-12-19 07:00:00.033,hyperliquid,False,0.0,BTC
BTC,1.25e-05,-0.0003734702,2025-12-19 08:00:00.054,hyperliquid,False,0.0,BTC
BTC,8.6209e-06,-0.0004310329,2025-12-19 09:00:00.013,hyperliquid,False,0.0,BTC
BTC,8.9616e-06,-0.0004283069,2025-12-19 10:00:00.046,hyperliquid,False,0.0,BTC
BTC,1.15865e-05,-0.0004073082,2025-12-19 11:00:00.006,hyperliquid,False,0.0,BTC
BTC,1.25e-05,-0.0003700867,2025-12-19 12:00:00.061,hyperliquid,False,0.0,BTC
BTC,4.6948e-06,-0.0004624417,2025-12-19 13:00:00.006,hyperliquid,False,0.0,BTC
BTC,8.2957e-06,-0.0004336347,2025-12-19 14:00:00.026,hyperliquid,False,0.0,BTC
BTC,5.0453e-06,-0.0004596373,2025-12-19 15:00:00.126,hyperliquid,False,0.0,BTC
BTC,5.2025e-06,-0.0004583798,2025-12-19 16:00:00.091,hyperliquid,False,0.0,BTC
BTC,6.7152e-06,-0.000446278,2025-12-19 17:00:00.109,hyperliquid,False,0.0,BTC
BTC,-1.52379e-05,-0.0006219031,2025-12-19 18:00:00.025,hyperliquid,False,0.0,BTC
BTC,-1.75496e-05,-0.0006403966,2025-12-19 19:00:00.014,hyperliquid,False,0.0,BTC
BTC,-1.26302e-05,-0.0006010415,2025-12-19 20:00:00.036,hyperliquid,False,0.0,BTC
BTC,-5.0261e-06,-0.000540209,2025-12-19 21:00:00.021,hyperliquid,False,0.0,BTC
BTC,4.0235e-06,-0.0004678122,2025-12-19 22:00:00.013,hyperliquid,False,0.0,BTC
BTC,4.1155e-06,-0.0004670758,2025-12-19 23:00:00.045,hyperliquid,False,0.0,BTC
BTC,1.4887e-06,-0.0004880902,2025-12-20 00:00:00.049,hyperliquid,False,0.0,BTC
BTC,-6.0575e-06,-0.0005484602,2025-12-20 01:00:00.054,hyperliquid,False,0.0,BTC
BTC,-2.854e-07,-0.0005022829,2025-12-20 02:00:00.052,hyperliquid,False,0.0,BTC
BTC,-9.6376e-06,-0.0005771008,2025-12-20 03:00:00.088,hyperliquid,False,0.0,BTC
BTC,-1.02924e-05,-0.0005823391,2025-12-20 04:00:00.068,hyperliquid,False,0.0,BTC
BTC,-1.40902e-05,-0.000612722,2025-12-20 05:00:00.010,hyperliquid,False,0.0,BTC
BTC,-3.4191e-06,-0.0005273524,2025-12-20 06:00:00.061,hyperliquid,False,0.0,BTC
BTC,-3.9477e-06,-0.0005315817,2025-12-20 07:00:00.016,hyperliquid,False,0.0,BTC
BTC,-9.521e-06,-0.0005761679,2025-12-20 08:00:00.027,hyperliquid,False,0.0,BTC
BTC,-8.355e-07,-0.0005066837,2025-12-20 09:00:00.085,hyperliquid,False,0.0,BTC
BTC,-4.2991e-06,-0.0005343927,2025-12-20 10:00:00.128,hyperliquid,False,0.0,BTC
BTC,-1.03978e-05,-0.0005831824,2025-12-20 11:00:00.020,hyperliquid,False,0.0,BTC
BTC,-6.6828e-06,-0.0005534625,2025-12-20 12:00:00.008,hyperliquid,False,0.0,BTC
BTC,-7.6435e-06,-0.0005611482,2025-12-20 13:00:00.029,hyperliquid,False,0.0,BTC
BTC,-8.7836e-06,-0.0005702692,2025-12-20 14:00:00.160,hyperliquid,False,0.0,BTC
BTC,-1.32085e-05,-0.0006056681,2025-12-20 15:00:00.007,hyperliquid,False,0.0,BTC
BTC,-7.8636e-06,-0.0005629089,2025-12-20 16:00:00.049,hyperliquid,False,0.0,BTC
BTC,-7.8637e-06,-0.00056291,2025-12-20 17:00:00.090,hyperliquid,False,0.0,BTC
BTC,-4.7745e-06,-0.0005381961,2025-12-20 18:00:00.003,hyperliquid,False,0.0,BTC
BTC,1.3032e-06,-0.0004895747,2025-12-20 19:00:00.040,hyperliquid,False,0.0,BTC
BTC,3.4556e-06,-0.0004723555,2025-12-20 20:00:00.009,hyperliquid,False,0.0,BTC
BTC,4.586e-06,-0.0004633117,2025-12-20 21:00:00.059,hyperliquid,False,0.0,BTC
BTC,1.08956e-05,-0.0004128352,2025-12-20 22:00:00.093,hyperliquid,False,0.0,BTC
BTC,7.5638e-06,-0.0004394899,2025-12-20 23:00:00.087,hyperliquid,False,0.0,BTC
BTC,7.6255e-06,-0.0004389959,2025-12-21 00:00:00.121,hyperliquid,False,0.0,BTC
BTC,9.1153e-06,-0.0004270778,2025-12-21 01:00:00.035,hyperliquid,False,0.0,BTC
BTC,6.4979e-06,-0.0004480165,2025-12-21 02:00:00.051,hyperliquid,False,0.0,BTC
BTC,1.9012e-06,-0.0004847902,2025-12-21 03:00:00.019,hyperliquid,False,0.0,BTC
BTC,1.0297e-05,-0.000417624,2025-12-21 04:00:00.042,hyperliquid,False,0.0,BTC
BTC,5.8553e-06,-0.0004531579,2025-12-21 05:00:00.026,hyperliquid,False,0.0,BTC
BTC,8.779e-06,-0.0004297682,2025-12-21 06:00:00.033,hyperliquid,False,0.0,BTC
BTC,7.4338e-06,-0.0004405298,2025-12-21 07:00:00.023,hyperliquid,False,0.0,BTC
BTC,5.1756e-06,-0.0004585953,2025-12-21 08:00:00.005,hyperliquid,False,0.0,BTC
BTC,4.7044e-06,-0.0004623645,2025-12-21 09:00:00.041,hyperliquid,False,0.0,BTC
BTC,7.574e-06,-0.0004394084,2025-12-21 10:00:00.026,hyperliquid,False,0.0,BTC
BTC,8.0292e-06,-0.0004357666,2025-12-21 11:00:00.001,hyperliquid,False,0.0,BTC
BTC,1.0825e-05,-0.0004134,2025-12-21 12:00:00.014,hyperliquid,False,0.0,BTC
BTC,9.7774e-06,-0.0004217804,2025-12-21 13:00:00.104,hyperliquid,False,0.0,BTC
BTC,4.6548e-06,-0.0004627618,2025-12-21 14:00:00.061,hyperliquid,False,0.0,BTC
BTC,1.16999e-05,-0.0004064009,2025-12-21 15:00:00.046,hyperliquid,False,0.0,BTC
BTC,1.25e-05,-0.0003921215,2025-12-21 16:00:00.090,hyperliquid,False,0.0,BTC
BTC,9.5304e-06,-0.0004237565,2025-12-21 17:00:00.081,hyperliquid,False,0.0,BTC
BTC,7.6689e-06,-0.0004386489,2025-12-21 18:00:00.005,hyperliquid,False,0.0,BTC
BTC,7.8764e-06,-0.0004369886,2025-12-21 19:00:00.103,hyperliquid,False,0.0,BTC
BTC,1.25e-05,-0.0003887368,2025-12-21 20:00:00.004,hyperliquid,False,0.0,BTC
BTC,1.25e-05,-0.000382172,2025-12-21 21:00:00.091,hyperliquid,False,0.0,BTC
BTC,1.25e-05,-0.0003822145,2025-12-21 22:00:00.043,hyperliquid,False,0.0,BTC
BTC,1.01163e-05,-0.0004190693,2025-12-21 23:00:00.179,hyperliquid,False,0.0,BTC
BTC,1.05287e-05,-0.00041577,2025-12-22 00:00:00.034,hyperliquid,False,0.0,BTC
BTC,1.25e-05,-0.0003760543,2025-12-22 01:00:00.030,hyperliquid,False,0.0,BTC
BTC,1.07008e-05,-0.0004143935,2025-12-22 02:00:00.054,hyperliquid,False,0.0,BTC
BTC,9.2505e-06,-0.0004259957,2025-12-22 03:00:00.057,hyperliquid,False,0.0,BTC
BTC,1.25e-05,-0.0003949544,2025-12-22 04:00:00.017,hyperliquid,False,0.0,BTC
BTC,1.25e-05,-0.0003747433,2025-12-22 05:00:00.041,hyperliquid,False,0.0,BTC
BTC,1.25e-05,-0.0003532542,2025-12-22 06:00:00.079,hyperliquid,False,0.0,BTC
BTC,1.25e-05,-0.0003640827,2025-12-22 07:00:00.012,hyperliquid,False,0.0,BTC
BTC,1.25e-05,-0.0003018116,2025-12-22 08:00:00.066,hyperliquid,False,0.0,BTC
BTC,1.25e-05,-0.0002780949,2025-12-22 09:00:00.042,hyperliquid,False,0.0,BTC
BTC,1.25e-05,-0.0003184501,2025-12-22 10:00:00.028,hyperliquid,False,0.0,BTC
BTC,1.25e-05,-0.0003308437,2025-12-22 11:00:00.073,hyperliquid,False,0.0,BTC
BTC,1.25e-05,-0.0003813491,2025-12-22 12:00:00.028,hyperliquid,False,0.0,BTC
BTC,9.4677e-06,-0.0004242585,2025-12-22 13:00:00.031,hyperliquid,False,0.0,BTC
BTC,4.6993e-06,-0.0004624055,2025-12-22 14:00:00.065,hyperliquid,False,0.0,BTC
