coin,fundingRate,premium,fundingTime,source,has_interest_component,interest_rate_per_interval,symbol
ETH,6.5585e-06,-0.0004475317,2025-12-19 05:00:00.067,hyperliquid,False,0.0,ETH
ETH,9.8612e-06,-0.0004211102,2025-12-19 06:00:00.047,hyperliquid,False,0.0,ETH
ETH,9.4151e-06,-0.0004246794,2025-12-19 07:00:00.033,hyperliquid,False,0.0,ETH
ETH,8.7706e-06,-0.0004298356,2025-12-19 08:00:00.054,hyperliquid,False,0.0,ETH
ETH,3.7168e-06,-0.0004702657,2025-12-19 09:00:00.013,hyperliquid,False,0.0,ETH
ETH,6.0761e-06,-0.0004513912,2025-12-19 10:00:00.046,hyperliquid,False,0.0,ETH
ETH,5.2643e-06,-0.000457886,2025-12-19 11:00:00.006,hyperliquid,False,0.0,ETH
ETH,1.25e-05,-0.0003605791,2025-12-19 12:00:00.061,hyperliquid,False,0.0,ETH
ETH,1.0169e-05,-0.000418648,2025-12-19 13:00:00.006,hyperliquid,False,0.0,ETH
ETH,1.10938e-05,-0.0004112497,2025-12-19 14:00:00.026,hyperliquid,False,0.0,ETH
ETH,1.25e-05,-0.0003711522,2025-12-19 15:00:00.126,hyperliquid,False,0.0,ETH
ETH,1.23403e-05,-0.0004012773,2025-12-19 16:00:00.091,hyperliquid,False,0.0,ETH
ETH,1.17536e-05,-0.0004059716,2025-12-19 17:00:00.109,hyperliquid,False,0.0,ETH
ETH,1.25e-05,-0.0003703356,2025-12-19 18:00:00.025,hyperliquid,False,0.0,ETH
ETH,1.07544e-05,-0.0004139649,2025-12-19 19:00:00.014,hyperliquid,False,0.0,ETH
ETH,1.25e-05,-0.0003119477,2025-12-19 20:00:00.036,hyperliquid,False,0.0,ETH
ETH,1.25e-05,-0.0003212726,2025-12-19 21:00:00.021,hyperliquid,False,0.0,ETH
ETH,1.25e-05,-0.0002664231,2025-12-19 22:00:00.013,hyperliquid,False,0.0,ETH
